PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
4791,1012100009,157,WEST 79 STREET,51453,71,B
4792,1012100012,147,WEST 79 STREET,76193,75,B
4793,1012100015,145,WEST 79 STREET,59544,75,B
4794,1012100017,135,WEST 79 STREET,53370,71,B
4795,1012100019,127,WEST 79 STREET,123898,71,B
4796,1012100037,102,WEST 80 STREET,40916,75,B
4797,1012100058,164,WEST 80 STREET,29825,76,B
4798,1012107504,410,COLUMBUS AVENUE,70786,84,B
4799,1012110056,170,WEST 81 STREET,43896,70,B
4800,1012120053,150,WEST 82 STREET,49977,83,B
4801,1012130009,139,WEST 82 STREET,77188,71,B
4802,1012150035,102,WEST 85 STREET,64429,81,B
4803,1012150053,150,WEST 85 STREET,27044,83,B
4804,1012160044,130,WEST 86 STREET,69125,72,B
4805,1012170025,115,WEST 86 STREET,83837,73,B
4806,1012170057,166,WEST 87 STREET,72000,77,B
4807,1012200001,601,AMSTERDAM AVENUE,237045,71,B
4808,1012207501,127,WEST 89 STREET,33570,76,B
4809,1012207503,107,WEST 89 STREET,54778,83,B
4810,1012237504,134,WEST 93 STREET,55008,73,B
4811,1012240001,681,AMSTERDAM AVENUE,238456,73,B
4812,1012290008,2261,BROADWAY,59354,80,B
4813,1012310026,215,WEST 83 STREET,82916,70,B
4814,1012317502,498,WEST END AVENUE,86296,84,B
4815,1012320061,512,WEST END AVENUE,68072,83,B
4816,1012327501,255,WEST 84 STREET,150806,78,B
4817,1012330029,520,AMSTERDAM AVENUE,102693,79,B
4818,1012330033,530,AMSTERDAM AVENUE,352821,75,B
4819,1012337501,530,WEST END AVENUE,80669,74,B
4820,1012350002,562,WEST END AVENUE,71126,83,B
4821,1012360003,588,WEST END AVENUE,64865,82,B
4822,1012370017,2420,BROADWAY,313563,72,B
4823,1012370029,600,AMSTERDAM AVENUE,161425,82,B
4824,1012377501,2421,BROADWAY,154587,71,B
4825,1012390039,206,WEST 92 STREET,37045,80,B
4826,1012400024,2480,BROADWAY,196293,72,B
4827,1012410001,680,WEST END AVENUE,154800,84,B
4828,1012420062,706,WEST END AVENUE,99494,84,B
4829,1012430008,255,WEST 95 STREET,25272,70,B
4830,1012430028,205,WEST 95 STREET,56778,82,B
4831,1012440008,307,WEST 79 STREET,80646,81,B
4832,1012440072,441,WEST END AVENUE,244040,71,B
4833,1012440081,308,WEST 82 STREET,29100,72,B
4834,1012450019,465,WEST END AVENUE,100400,80,B
4835,1012450037,324,WEST 83 STREET,27986,81,B
4836,1012450075,495,WEST END AVENUE,83154,72,B
4837,1012460029,505,WEST END AVENUE,112000,72,B
4838,1012460039,310,WEST 85 STREET,48184,75,B
4839,1012470010,355,WEST 85 STREET,40937,72,B
4840,1012470047,328,WEST 86 STREET,52194,75,B
4841,1012477501,340,WEST 86 STREET,179844,74,B
4842,1012480001,140,RIVERSIDE DRIVE,372186,74,B
4843,1012480029,545,WEST END AVENUE,141426,81,B
4844,1012480037,302,WEST 87 STREET,47067,76,B
4845,1012480041,320,WEST 87 STREET,57516,80,B
4846,1012480051,340,WEST 87 STREET,29303,79,B
4847,1012490029,565,WEST END AVENUE,155906,81,B
4848,1012500001,160,RIVERSIDE DRIVE,139009,83,B
4849,1012500006,345,WEST 88 STREET,84026,80,B
4850,1012500047,320,WEST 89 STREET,43260,82,B
4851,1012500067,173,RIVERSIDE DRIVE,380920,75,B
4852,1012500094,607,WEST END AVENUE,73987,84,B
4853,1012500100,617,WEST END AVENUE,51925,80,B
4854,1012500110,322,WEST 90 STREET,39192,71,B
4855,1012510054,639,WEST END AVENUE,88396,74,B
4856,1012510071,194,RIVERSIDE DRIVE,78725,71,B
4857,1012520001,200,RIVERSIDE DRIVE,63794,82,B
4858,1012520017,675,WEST END AVENUE,81066,73,B
4859,1012520027,312,WEST 93 STREET,31690,76,B
4860,1012520057,697,WEST END AVENUE,148873,83,B
4861,1012520065,310,WEST 94 STREET,31760,72,B
4862,1012520072,316,WEST 94 STREET,26928,76,B
4863,1012537502,222,RIVERSIDE DRIVE,174000,75,B
4864,1012580009,1114,AVENUE OF THE AMERICAS,1517497,70,B
4865,1012580021,11,WEST 42 STREET,949976,73,B
4866,1012590019,23,WEST 43 STREET,287894,70,B
4867,1012590048,20,WEST 44 STREET,70280,79,B
4868,1012597502,522,5 AVENUE,431000,80,B
4869,1012600024,19,WEST 44 STREET,235199,72,B
4870,1012600071,1156,AVENUE OF THE AMERICAS,69481,82,B
4871,1012607502,66,WEST 45 STREET,170367,78,B
4872,1012607503,530,5 AVENUE,480166,75,B
4873,1012610015,49,WEST 45 STREET,59841,77,B
4874,1012610029,15,WEST 45 STREET,44836,77,B
4875,1012610054,30,WEST 46 STREET,126000,83,B
4876,1012620001,1180,AVENUE OF THE AMERICAS,327766,70,B
4877,1012620021,33,WEST 46 STREET,34553,80,B
4878,1012620041,576,5 AVENUE,57352,81,B
4879,1012620048,16,WEST 47 STREET,110553,70,B
4880,1012620054,30,WEST 47 STREET,55613,73,B
4881,1012630041,592,5 AVENUE,70135,71,B
4882,1012630071,1212,AVENUE OF THE AMERICAS,248896,70,B
4883,1012670022,15,WEST 51 STREET,582428,78,B
4884,1012680001,51,WEST 52 STREET,817095,72,B
4885,1012687501,40,WEST 53 STREET,730175,81,B
4886,1012700017,25,WEST 54 STREET,72845,83,B
4887,1012710017,39,WEST 55 STREET,40197,80,B
4888,1012710021,27,WEST 55 STREET,37571,73,B
4889,1012710038,712,5 AVENUE,543411,84,B
4890,1012720026,13,WEST 56 STREET,54959,83,B
4891,1012720056,28,WEST 57 STREET,34300,80,B
4892,1012720063,38,WEST 57 STREET,712000,75,B
4893,1012730022,9,WEST 57 STREET,1698259,73,B
4894,1012730031,3,WEST 57 STREET,58001,83,B
4895,1012747501,30,CENTRAL PARK SOUTH,56986,78,B
4896,1012750001,461,5 AVENUE,201387,76,B
4897,1012750027,100,PARK AVENUE,778203,80,B
4898,1012750061,18,EAST 41 STREET,92949,73,B
4899,1012750069,473,5 AVENUE,220413,77,B
4900,1012760042,60,EAST 42 STREET,1150564,74,B
4901,1012760051,50,EAST 42 STREET,138883,79,B
4902,1012760058,300,MADISON AVENUE,1142417,74,B
4903,1012780069,529,5 AVENUE,271266,79,B
4904,1012790001,531,5 AVENUE,332312,79,B
4905,1012790057,352,MADISON AVENUE,380776,76,B
4906,1012807501,420,LEXINGTON AVENUE,1043906,79,B
4907,1012817501,360,MADISON AVENUE,356057,76,B
4908,1012827501,575,5 AVENUE,462417,83,B
4909,1012830001,579,5 AVENUE,130715,80,B
4910,1012840002,597,5 AVENUE,52727,73,B
4911,1012840007,7,EAST 48 STREET,656428,83,B
4912,1012850015,444,MADISON AVENUE,401686,77,B
4913,1012857501,611,5 AVENUE,1042944,76,B
4914,1012870014,488,MADISON AVENUE,391114,79,B
4915,1012877501,641,5 AVENUE,914767,70,B
4916,1012880021,503,MADISON AVENUE,164722,80,B
4917,1012880056,510,MADISON AVENUE,292663,75,B
4918,1012890021,515,MADISON AVENUE,331020,84,B
4919,1012890028,43,EAST 53 STREET,112933,81,B
4920,1012900036,400,PARK AVENUE,214392,76,B
4921,1012900037,410,PARK AVENUE,236665,73,B
4922,1012910001,711,5 AVENUE,310000,78,B
4923,1012917501,717,5 AVENUE,451845,78,B
4924,1012920052,575,MADISON AVENUE,399613,71,B
4925,1012930014,19,EAST 57 STREET,99381,84,B
4926,1012930016,592,MADISON AVENUE,76656,71,B
4927,1012930035,460,PARK AVENUE,254185,70,B
4928,1012930069,745,5 AVENUE,459340,75,B
4929,1012940046,625,MADISON AVENUE,535344,75,B
4930,1012950017,354,LEXINGTON AVENUE,238294,84,B
4931,1012950023,355,LEXINGTON AVENUE,225000,82,B
4932,1012950040,630,3 AVENUE,210777,80,B
4933,1012960001,125,PARK AVENUE,520416,72,B
4934,1012960014,374,LEXINGTON AVENUE,862071,73,B
4935,1012967501,110,EAST 42 STREET,304137,75,B
4936,1012970023,395,LEXINGTON AVENUE,1035307,83,B
4937,1012970033,666,3 AVENUE,666376,71,B
4938,1012980023,425,LEXINGTON AVENUE,627691,81,B
4939,1012990023,137,EAST 44 STREET,64614,77,B
4940,1012990027,147,EAST 44 STREET,629323,71,B
4941,1013010023,485,LEXINGTON AVENUE,743789,79,B
4942,1013020043,144,EAST 48 STREET,114500,75,B
4943,1013030033,776,3 AVENUE,490020,74,B
4944,1013030041,150,EAST 49 STREET,57000,82,B
4945,1013050013,560,LEXINGTON AVENUE,345743,81,B
4946,1013070023,599,LEXINGTON AVENUE,984485,71,B
4947,1013087501,601,LEXINGTON AVENUE,1835280,82,B
4948,1013100063,126,EAST 56 STREET,171591,70,B
4949,1013110029,155,EAST 56 STREET,45836,70,B
4950,1013120015,135,EAST 57 STREET,397354,73,B
4951,1013120041,150,EAST 58 STREET,570453,70,B
4952,1013130001,485,PARK AVENUE,82644,78,B
4953,1013130004,499,PARK AVENUE,278921,74,B
4954,1013130005,111,EAST 58 STREET,596734,80,B
4955,1013157501,220,EAST 42 STREET,1115243,78,B
4956,1013160012,219,EAST 42 STREET,300000,71,B
4957,1013170007,211,EAST 43 STREET,177000,82,B
4958,1013170021,815,2 AVENUE,137784,79,B
4959,1013180001,711,3 AVENUE,544150,77,B
4960,1013190012,227,EAST 45 STREET,151617,74,B
4961,1013190047,733,3 AVENUE,405399,73,B
4962,1013197501,240,EAST 46 STREET,60900,82,B
4963,1013207502,216,EAST 47 STREET,79200,78,B
4964,1013210001,757,3 AVENUE,407767,73,B
4965,1013210022,885,2 AVENUE,805467,80,B
4966,1013230036,230,EAST 50 STREET,53694,84,B
4967,1013240016,235,EAST 50 STREET,27522,83,B
4968,1013250050,206,EAST 52 STREET,84420,72,B
4969,1013260001,875,3 AVENUE,634175,81,B
4970,1013270037,220,EAST 54 STREET,115020,73,B
4971,1013290001,919,3 AVENUE,1323432,71,B
4972,1013290035,222,EAST 56 STREET,30635,75,B
4973,1013310014,227,EAST 57 STREET,93153,81,B
4974,1013317501,200,EAST 58 STREET,156476,81,B
4975,1013320001,979,3 AVENUE,579779,75,B
4976,1013320031,232,EAST 59 STREET,42176,80,B
4977,1013320037,222,EAST 59 STREET,45000,84,B
4978,1013330023,1,TUDOR CITY PLACE,418312,75,B
4979,1013340010,325,EAST 41 STREET,110934,70,B
4980,1013340041,312,EAST 42 STREET,261401,74,B
4981,1013350005,320,EAST 43 STREET,299094,82,B
4982,1013350039,328,EAST 43 STREET,48892,83,B
4983,1013360040,310,EAST 44 STREET,206598,71,B
4984,1013377501,304,EAST 45 STREET,257389,73,B
4985,1013387502,325,EAST 45 STREET,130200,80,B
4986,1013390005,305,EAST 46 STREET,153689,70,B
4987,1013400016,327,EAST 47 STREET,41412,78,B
4988,1013410044,310,EAST 49 STREET,60043,73,B
4989,1013417501,326,EAST 49 STREET,97800,72,B
4990,1013417505,865,1 AVENUE,82000,80,B
4991,1013437501,317,EAST 50 STREET,93015,81,B
4992,1013440030,939,1 AVENUE,142767,71,B
4993,1013440033,340,EAST 52 STREET,51338,76,B
4994,1013440041,320,EAST 52 STREET,88300,84,B
4995,1013447502,351,EAST 51 STREET,144834,82,B
4996,1013450031,342,EAST 53 STREET,32000,76,B
4997,1013460014,333,EAST 53 STREET,118694,84,B
4998,1013460023,965,1 AVENUE,38934,77,B
4999,1013470044,310,EAST 55 STREET,62287,84,B
5000,1013480036,330,EAST 56 STREET,186000,81,B
5001,1013490044,320,EAST 57 STREET,110000,83,B
5002,1013500040,320,EAST 58 STREET,109350,77,B
5003,1013610001,1,MITCHELL PLACE,143033,76,B
5004,1013610012,2,MITCHELL PLACE,125000,71,B
5005,1013630001,930,1 AVENUE,38720,77,B
5006,1013630012,433,EAST 51 STREET,93999,76,B
5007,1013630031,434,EAST 52 STREET,86182,76,B
5008,1013630037,424,EAST 52 STREET,88181,76,B
5009,1013630040,414,EAST 52 STREET,102422,76,B
5010,1013630043,410,EAST 52 STREET,179213,76,B
5011,1013660001,984,1 AVENUE,436842,83,B
5012,1013660039,412,EAST 55 STREET,89400,83,B
5013,1013670026,20,SUTTON PLACE SOUTH,155938,84,B
5014,1013680039,424,EAST 57 STREET,29376,72,B
5015,1013690012,433,EAST 57 STREET,90500,83,B
5016,1013697501,420,EAST 58 STREET,85992,84,B
5017,1013700021,30,SUTTON PLACE,127293,78,B
5018,1013710014,45,SUTTON PLACE SOUTH,510547,79,B
5019,1013720073,35,SUTTON PLACE,247000,75,B
5020,1013740014,650,MADISON AVENUE,449876,71,B
5021,1013740021,637,MADISON AVENUE,149881,73,B
5022,1013740049,645,MADISON AVENUE,164615,84,B
5023,1013750021,653,MADISON AVENUE,198347,70,B
5024,1013750049,667,MADISON AVENUE,247260,74,B
5025,1013757501,40,EAST 61 STREET,98246,72,B
5026,1013760015,680,MADISON AVENUE,237003,81,B
5027,1013760051,681,MADISON AVENUE,163787,73,B
5028,1013770029,43,EAST 62 STREET,55639,81,B
5029,1013810025,53,EAST 66 STREET,80985,73,B
5030,1013817501,3,EAST 66 STREET,25652,84,B
5031,1013830069,875,5 AVENUE,224000,84,B
5032,1013860006,3,EAST 71 STREET,80860,80,B
5033,1013860037,750,PARK AVENUE,72792,83,B
5034,1013870031,55,EAST 72 STREET,69227,79,B
5035,1013870069,920,5 AVENUE,107449,74,B
5036,1013880056,926,MADISON AVENUE,143437,76,B
5037,1013890001,930,5 AVENUE,220003,73,B
5038,1013890069,936,5 AVENUE,84965,73,B
5039,1013900067,945,5 AVENUE,188810,82,B
5040,1013910045,70,EAST 77 STREET,67685,81,B
5041,1013927501,40,EAST 78 STREET,231346,79,B
5042,1013940001,505,PARK AVENUE,220510,82,B
5043,1013940005,111,EAST 59 STREET,170511,81,B
5044,1013960007,115,EAST 61 STREET,58298,77,B
5045,1013960048,142,EAST 62 STREET,25514,70,B
5046,1013980060,826,LEXINGTON AVENUE,139590,80,B
5047,1013990013,844,LEXINGTON AVENUE,83036,80,B
5048,1014010032,139,EAST 66 STREET,38850,70,B
5049,1014020006,111,EAST 67 STREET,166862,72,B
5050,1014040052,955,LEXINGTON AVENUE,54719,74,B
5051,1014050072,733,PARK AVENUE,115525,73,B
5052,1014060041,1230,3 AVENUE,325680,82,B
5053,1014060069,751,PARK AVENUE,130533,82,B
5054,1014070008,117,EAST 72 STREET,81622,81,B
5055,1014070016,1004,LEXINGTON AVENUE,173024,79,B
5056,1014070026,153,EAST 72 STREET,98373,73,B
5057,1014070051,1017,LEXINGTON AVENUE,97328,73,B
5058,1014077501,157,EAST 72 STREET,113524,70,B
5059,1014080001,785,PARK AVENUE,143244,76,B
5060,1014080040,1280,3 AVENUE,159929,75,B
5061,1014080066,112,EAST 74 STREET,48338,83,B
5062,1014090001,799,PARK AVENUE,148485,72,B
5063,1014090040,1296,3 AVENUE,162750,74,B
5064,1014090061,120,EAST 75 STREET,56500,70,B
5065,1014100005,103,EAST 75 STREET,64853,78,B
5066,1014100064,122,EAST 76 STREET,65482,79,B
5067,1014120071,875,PARK AVENUE,158445,75,B
5068,1014127501,170,EAST 78 STREET,56287,75,B
5069,1014130027,167,EAST 78 STREET,55883,71,B
5070,1014150021,1143,2 AVENUE,103304,71,B
5071,1014197501,1225,2 AVENUE,194198,73,B
5072,1014197503,220,EAST 65 STREET,391630,74,B
5073,1014220005,205,EAST 67 STREET,149484,74,B
5074,1014240029,226,EAST 70 STREET,41898,82,B
5075,1014270034,220,EAST 73 STREET,90700,76,B
5076,1014280009,215,EAST 73 STREET,74726,81,B
5077,1014280013,225,EAST 73 STREET,89016,78,B
5078,1014290041,210,EAST 75 STREET,25758,77,B
5079,1014310016,231,EAST 76 STREET,82065,79,B
5080,1014310041,210,EAST 77 STREET,38784,78,B
5081,1014320005,205,EAST 77 STREET,77928,77,B
5082,1014330016,243,EAST 78 STREET,36331,81,B
5083,1014337501,205,EAST 78 STREET,245644,81,B
5084,1014337502,200,EAST 79 STREET,136176,76,B
5085,1014360003,1166,2 AVENUE,106260,77,B
5086,1014367501,1178,2 AVENUE,121855,74,B
5087,1014367504,301,EAST 61 STREET,65713,71,B
5088,1014367505,321,EAST 61ST STREET,97491,82,B
5089,1014370022,359,EAST 62 STREET,47602,73,B
5090,1014370032,340,EAST 63 STREET,32966,75,B
5091,1014380001,1202,2 AVENUE,153962,72,B
5092,1014390001,1222,2 AVENUE,183013,71,B
5093,1014430011,333,EAST 68 STREET,132611,76,B
5094,1014440015,333,EAST 69 STREET,160311,80,B
5095,1014447501,301,EAST 69 STREET,223754,84,B
5096,1014460008,311,EAST 71 STREET,80056,79,B
5097,1014470013,325,EAST 72 STREET,84823,70,B
5098,1014480003,1408,2 AVENUE,350000,70,B
5099,1014480017,345,EAST 73 STREET,154506,70,B
5100,1014497501,1439,1 AVENUE,263853,82,B
5101,1014507501,333,EAST 74 STREET,97947,78,B
5102,1014510031,350,EAST 77 STREET,66962,74,B
5103,1014530021,353,EAST 78 STREET,54698,75,B
5104,1014530037,330,EAST 79 STREET,82608,76,B
5105,1014580005,405,EAST 63 STREET,122346,78,B
5106,1014587503,425,EAST 63 STREET,481754,79,B
5107,1014590001,1168,1 AVENUE,206701,70,B
5108,1014590010,415,EAST 64 STREET,133860,70,B
5109,1014590030,410,EAST 65 STREET,124902,70,B
5110,1014670005,405,EAST 72 STREET,49590,74,B
5111,1014680039,410,EAST 74 STREET,28560,81,B
5112,1014680041,402,EAST 74 STREET,38844,84,B
5113,1014710032,430,EAST 77 STREET,26000,70,B
5114,1014710038,418,EAST 77 STREET,35815,72,B
5115,1014730018,440,EAST 79 STREET,238293,73,B
5116,1014737502,460,EAST 79 STREET,157260,74,B
5117,1014870005,503,EAST 75 STREET,148565,81,B
5118,1014890008,509,EAST 77 STREET,98580,76,B
5119,1014890037,508,EAST 78 STREET,98580,70,B
5120,1014900040,510,EAST 79 STREET,44364,75,B
5121,1014910023,1033,MADISON AVENUE,69585,70,B
5122,1014917501,900,PARK AVENUE,213234,73,B
5123,1014920015,1058,MADISON AVENUE,104209,71,B
5124,1014920037,930,PARK AVENUE,80405,80,B
5125,1014940001,1010,5 AVENUE,196727,70,B
5126,1014950049,1115,MADISON AVENUE,137375,75,B
5127,1014960071,1035,5 AVENUE,233923,83,B
5128,1014970005,3,EAST 85 STREET,32762,75,B
5129,1014970034,1020,PARK AVENUE,117879,70,B
5130,1014970046,64,EAST 86 STREET,59948,84,B
5131,1014970073,1045,5 AVENUE,43900,78,B
5132,1014980007,5,EAST 86 STREET,46600,82,B
5133,1014980010,11,EAST 86 STREET,126440,84,B
5134,1014980045,56,EAST 87 STREET,33402,81,B
5135,1014980069,1056,5 AVENUE,154575,77,B
5136,1014987501,55,EAST 86 STREET,102934,70,B
5137,1015000020,1225,MADISON AVENUE,165364,82,B
5138,1015000062,12,EAST 89 STREET,81254,78,B
5139,1015000065,4,EAST 89 STREET,70678,78,B
5140,1015010056,1246,MADISON AVENUE,166317,71,B
5141,1015010069,1085,5 AVENUE,123500,80,B
5142,1015020017,1254,MADISON AVENUE,104445,76,B
5143,1015020023,51,EAST 90 STREET,51475,77,B
5144,1015030001,1100,5 AVENUE,50316,73,B
5145,1015030007,7,EAST 91 STREET,28835,73,B
5146,1015030038,1150,PARK AVENUE,166742,84,B
5147,1015030069,1107,5 AVENUE,136240,77,B
5148,1015040031,1160,PARK AVENUE,181136,70,B
5149,1015060069,1136,5 AVENUE,122701,84,B
5150,1015070021,1361,MADISON AVENUE,68992,84,B
5151,1015080027,173,EAST 79 STREET,92216,70,B
5152,1015080046,162,EAST 80 STREET,49435,75,B
5153,1015087501,127,EAST 79 STREET,145015,74,B
5154,1015090001,925,PARK AVENUE,102881,81,B
5155,1015090006,107,EAST 80 STREET,52272,82,B
5156,1015090016,133,EAST 80 STREET,76413,73,B
5157,1015090051,140,EAST 81 STREET,109157,78,B
5158,1015090069,935,PARK AVENUE,62598,78,B
5159,1015090071,929,PARK AVENUE,47639,80,B
5160,1015100001,941,PARK AVENUE,164868,75,B
5161,1015100065,108,EAST 82 STREET,64332,72,B
5162,1015110001,969,PARK AVENUE,128635,75,B
5163,1015110021,147,EAST 82 STREET,26880,78,B
5164,1015110065,112,EAST 83 STREET,40053,73,B
5165,1015120025,151,EAST 83 STREET,93924,76,B
5166,1015120059,124,EAST 84 STREET,51744,82,B
5167,1015120062,114,EAST 84 STREET,57491,83,B
5168,1015127502,1474,3 AVENUE,63031,84,B
5169,1015130009,119,EAST 84 STREET,48387,80,B
5170,1015130066,106,EAST 85 STREET,37030,81,B
5171,1015140039,1524,3 AVENUE,651162,76,B
5172,1015140066,108,EAST 86 STREET,51360,70,B
5173,1015150001,1045,PARK AVENUE,68542,76,B
5174,1015160032,1550,3 AVENUE,67500,70,B
5175,1015160069,1075,PARK AVENUE,142368,82,B
5176,1015167502,115,EAST 87 STREET,436090,79,B
5177,1015170069,1095,PARK AVENUE,199625,75,B
5178,1015180033,1588,3 AVENUE,81837,84,B
5179,1015180049,1349,LEXINGTON AVENUE,112398,79,B
5180,1015190001,1125,PARK AVENUE,211870,77,B
5181,1015190069,1133,PARK AVENUE,65434,79,B
5182,1015200004,1153,PARK AVENUE,166596,77,B
5183,1015220001,1185,PARK AVENUE,550905,82,B
5184,1015220059,130,EAST 94 STREET,50643,76,B
5185,1015230001,1197,PARK AVENUE,210988,75,B
5186,1015230034,1680,3 AVENUE,242157,72,B
5187,1015247501,1235,PARK AVENUE,103777,84,B
5188,1015250015,229,EAST 79 STREET,106905,75,B
5189,1015277502,215,EAST 81 STREET,28559,72,B
5190,1015280005,205,EAST 82 STREET,37145,83,B
5191,1015290045,200,EAST 84 STREET,130234,76,B
5192,1015300019,245,EAST 84 STREET,69001,80,B
5193,1015310040,210,EAST 86 STREET,73255,75,B
5194,1015320031,240,EAST 87 STREET,32145,77,B
5195,1015350007,207,EAST 89 STREET,27500,79,B
5196,1015407503,200,EAST 95 STREET,320993,84,B
5197,1015430038,334,EAST 81 STREET,25700,78,B
5198,1015460023,353,EAST 83 STREET,267772,79,B
5199,1015460035,332,EAST 84 STREET,52900,82,B
5200,1015470023,351,EAST 84 STREET,261782,78,B
5201,1015500045,302,EAST 88 STREET,49075,77,B
5202,1015520006,307,EAST 89 STREET,31500,77,B
5203,1015520041,312,EAST 90 STREET,28041,81,B
5204,1015560017,329,EAST 93 STREET,54450,76,B
5205,1015580005,303,EAST 95 STREET,33804,83,B
5206,1015580040,306,EAST 96 STREET,165200,70,B
5207,1015590033,420,EAST 80 STREET,137238,77,B
5208,1015660014,431,EAST 86 STREET,33500,78,B
5209,1015670031,440,EAST 88 STREET,27847,75,B
5210,1015777501,520,EAST 81 STREET,111177,70,B
5211,1015777502,525,EAST 80 STREET,152729,84,B
5212,1015787504,40,EAST END AVENUE,94820,72,B
5213,1015800043,512,EAST 84 STREET,29910,79,B
5214,1015810030,110,EAST END AVENUE,150754,73,B
5215,1015810045,510,EAST 85 STREET,77768,81,B
5216,1015820015,529,EAST 85 STREET,38700,75,B
5217,1015820034,530,EAST 86 STREET,120835,76,B
5218,1015830012,525,EAST 86 STREET,223473,72,B
5219,1015830015,535,EAST 86 STREET,320600,82,B
5220,1015840035,524,EAST 88 STREET,35740,72,B
5221,1015850001,1680,YORK AVENUE,67425,72,B
5222,1015860001,1700,YORK AVENUE,136598,76,B
5223,1015860005,515,EAST 89 STREET,71000,71,B
5224,1015860043,504,EAST 90 STREET,71000,70,B
5225,1015890002,1,EAST END AVENUE,115835,71,B
5226,1015890023,33,EAST END AVENUE,89400,77,B
5227,1015890041,55,EAST END AVENUE,210000,78,B
5228,1015940054,32,WEST 111 STREET,26100,71,B
5229,1015997502,40,WEST 116 STREET,484897,72,B
5230,1016000015,37,WEST 116 STREET,29350,81,B
5231,1016020038,72,EAST 97 STREET,28922,76,B
5232,1016030025,53,EAST 97 STREET,27500,78,B
5233,1016030063,4,EAST 98 STREET,58306,71,B
5234,1016077501,1200,5 AVENUE,122755,84,B
5235,1016100009,21,EAST 104 STREET,26100,82,B
5236,1016130070,1261,5 AVENUE,130000,70,B
5237,1016140001,1270,5 AVENUE,212000,82,B
5238,1016240021,155,EAST 96 STREET,37065,83,B
5239,1016250016,1510,LEXINGTON AVENUE,308257,70,B
5240,1016290030,177,EAST 101 STREET,38164,81,B
5241,1016297502,1595,LEXINGTON AVENUE,54777,70,B
5242,1016300005,109,EAST 102 STREET,30129,74,B
5243,1016330066,116,EAST 106 STREET,36000,74,B
5244,1016387501,161,EAST 110 STREET,85511,74,B
5245,1016450050,152,EAST 118 STREET,50916,74,B
5246,1016610044,204,EAST 112 STREET,26341,71,B
5247,1016670043,208,EAST 118 STREET,26670,74,B
5248,1016730006,307,EAST 101 STREET,286777,75,B
5249,1016760011,325,EAST 104 STREET,101375,73,B
5250,1016817503,333,EAST 109 STREET,33892,75,B
5251,1017100019,441,EAST 116 STREET,25006,72,B
5252,1017100036,428,EAST 117 STREET,33922,75,B
5253,1017170022,21,WEST 118 STREET,33113,79,B
5254,1017220033,2000,5 AVENUE,29387,73,B
5255,1017300009,45,WEST 132 STREET,267008,79,B
5256,1017300064,40,WEST 135 STREET,272670,76,B
5257,1017350040,10,WEST 138 STREET,63284,75,B
5258,1017357501,48,WEST 138 STREET,48614,81,B
5259,1017370001,620,LENOX AVENUE,185318,77,B
5260,1017370015,45,WEST 139 STREET,185318,72,B
5261,1017370025,2300,5 AVENUE,555954,72,B
5262,1017370059,60,WEST 142 STREET,185318,70,B
5263,1017490016,25,EAST 124 STREET,32945,83,B
5264,1017500007,35,EAST 125 STREET,92969,82,B
5265,1017680012,1940,LEXINGTON AVENUE,113535,73,B
5266,1017740001,103,EAST 125 STREET,112500,72,B
5267,1017790007,107,EAST 130 STREET,191721,83,B
5268,1017800075,200,EAST 131 STREET,128640,78,B
5269,1017830005,205,EAST 118 STREET,34044,78,B
5270,1017830012,225,EAST 118 STREET,76941,71,B
5271,1017830031,234,EAST 119 STREET,36148,84,B
5272,1017830034,226,EAST 119 STREET,34356,84,B
5273,1017840002,2183,3 AVENUE,63368,75,B
5274,1017860004,2231,3 AVENUE,28500,82,B
5275,1017860042,212,EAST 122 STREET,26400,79,B
5276,1017950035,342,EAST 119 STREET,59411,81,B
5277,1018200002,1801,ADAM C POWELL BOULEVARD,32580,84,B
5278,1018207501,137,CENTRAL PARK NORTH,36637,84,B
5279,1018230010,133,WEST 113 STREET,57516,80,B
5280,1018230018,60,ST NICHOLAS AVENUE,65048,70,B
5281,1018240016,89,LENOX AVENUE,154962,83,B
5282,1018250059,164,WEST 116 STREET,76300,81,B
5283,1018257501,106,WEST 116 STREET,60290,72,B
5284,1018280063,2080,8 AVENUE,35058,70,B
5285,1018297501,2098,FREDERICK DOUGLASS BLVD.,100805,71,B
5286,1018300011,265,WEST 114 STREET,129010,71,B
5287,1018307502,2110,FREDERICK DOUGLASS BLVD.,50128,78,B
5288,1018307503,1890,ADAM C POWELL BOULEVARD,60455,71,B
5289,1018337501,382,CENTRAL PARK WEST,390628,71,B
5290,1018387501,420,CENTRAL PARK WEST,47400,80,B
5291,1018390018,78,MANHATTAN AVENUE,34535,83,B
5292,1018400035,448,CENTRAL PARK WEST,33058,78,B
5293,1018420053,60,WEST 107 STREET,25144,80,B
5294,1018420055,64,WEST 107 STREET,25144,80,B
5295,1018420057,66,WEST 107 STREET,25144,80,B
5296,1018420059,68,WEST 107 STREET,25144,80,B
5297,1018430055,62,WEST 108 STREET,32388,82,B
5298,1018440020,200,MANHATTAN AVENUE,112493,75,B
5299,1018467503,321,WEST 110 STREET,91226,80,B
5300,1018467504,272,MANHATTAN AVENUE,56598,74,B
5301,1018550050,881,AMSTERDAM AVENUE,83500,83,B
5302,1018590015,133,WEST 104 STREET,30608,77,B
