PDFIndex,10DigitBBl,StreetNumber,StreetName,DOFGrossSquareFootage,EnergyStar1-100Score,EnergyEfficiencyGrade
125,1004250023,11,RIVINGTON STREET,26283,90,A
126,1004260029,195,CHRYSTIE STREET,81900,94,A
127,1004410020,426,EAST 14 STREET,31875,100,A
128,1004510006,156,2 AVENUE,39395,87,A
129,1004530011,304,EAST 12 STREET,101800,96,A
130,1004570009,1,EAST 2 STREET,156365,95,A
131,1004570029,31,2 AVENUE,26832,87,A
132,1004600056,59,EAST 4 STREET,32000,90,A
133,1004670022,226,EAST 12 STREET,56845,93,A
134,1004670025,232,EAST 12 STREET,65602,87,A
135,1004680046,229,EAST 12 STREET,27215,87,A
136,1004697502,111,3 AVENUE,125097,100,A
137,1004710025,176,GRAND STREET,39558,95,A
138,1004740029,487,BROADWAY,70759,89,A
139,1004757509,43,WOOSTER STREET,30000,90,A
140,1004807504,75,KENMARE STREET,92163,99,A
141,1004810001,400,BROOME STREET,173838,92,A
142,1004820016,72,SPRING STREET,109377,92,A
143,1004830001,490,BROADWAY,28829,85,A
144,1004847502,503,BROADWAY,185717,95,A
145,1004860011,84,WOOSTER STREET,65972,91,A
146,1004870008,375,WEST BROADWAY,61040,85,A
147,1004917502,145,6 AVENUE,60852,88,A
148,1004920020,226,BOWERY,27571,97,A
149,1004927501,14,PRINCE STREET,45391,96,A
150,1004960001,79,CROSBY STREET,48479,90,A
151,1004960040,75,SPRING STREET,54800,91,A
152,1004970006,540,BROADWAY,25050,88,A
153,1004970018,560,BROADWAY,122454,94,A
154,1004980011,549,BROADWAY,243442,85,A
155,1004990007,104,GREENE STREET,192471,89,A
156,1005010028,101,WOOSTER STREET,30500,85,A
157,1005020025,430,WEST BROADWAY,26929,100,A
158,1005040031,110,SULLIVAN STREET,38880,85,A
159,1005040036,100,SULLIVAN STREET,33750,91,A
160,1005050001,150,VARICK STREET,214110,91,A
161,1005060016,30,CHARLTON STREET,44256,91,A
162,1005060027,2,CHARLTON STREET,172836,91,A
163,1005100001,63,PRINCE STREET,169961,98,A
164,1005107501,285,LAFAYETTE STREET,130076,94,A
165,1005110006,580,BROADWAY,127597,88,A
166,1005110008,584,BROADWAY,254822,93,A
167,1005110012,592,BROADWAY,231840,87,A
168,1005120020,579,BROADWAY,68800,98,A
169,1005127502,599,BROADWAY,224409,92,A
170,1005130023,165,MERCER STREET,30020,97,A
171,1005160007,140,THOMPSON STREET,86018,97,A
172,1005190070,180,VARICK STREET,329116,86,A
173,1005200001,200,VARICK STREET,436629,88,A
174,1005200029,185,WEST HOUSTON STREET,47100,100,A
175,1005210045,303,ELIZABETH STREET,187368,93,A
176,1005220010,632,BROADWAY,150603,96,A
177,1005220012,636,BROADWAY,131743,97,A
178,1005250040,180,THOMPSON STREET,27000,94,A
179,1005280035,40,DOWNING STREET,36850,100,A
180,1005290003,648,BROADWAY,49310,91,A
181,1005290072,65,BLEECKER STREET,104775,89,A
182,1005297501,658,BROADWAY,94279,91,A
183,1005390031,211,THOMPSON STREET,55800,88,A
184,1005397501,209,SULLIVAN STREET,80027,87,A
185,1005400030,214,SULLIVAN STREET,54238,86,A
186,1005420011,25,MINETTA LANE,45720,86,A
187,1005420025,290,AVENUE OF THE AMERICAS,54924,86,A
188,1005447503,38,COOPER SQUARE,112820,100,A
189,1005450046,416,LAFAYETTE STREET,27612,86,A
190,1005470020,15,WASHINGTON PLACE,71270,96,A
191,1005520060,29,WASHINGTON SQUARE WEST,128601,86,A
192,1005527504,88,WEST WASHINGTON PLACE,48914,95,A
193,1005550001,772,BROADWAY,718220,85,A
194,1005560001,85,4 AVENUE,163665,87,A
195,1005560048,120,EAST 12 STREET,181380,87,A
196,1005570017,60,EAST 12 STREET,124630,100,A
197,1005580013,110,EAST 13 STREET,25850,92,A
198,1005610001,41,UNIVERSITY PLACE,38915,85,A
199,1005610045,35,EAST 9 STREET,98609,86,A
200,1005620030,787,BROADWAY,135910,87,A
201,1005630024,36,EAST 12 STREET,32241,99,A
202,1005637501,44,EAST 12 STREET,47542,85,A
203,1005640026,39,EAST 12 STREET,79974,90,A
204,1005680006,41,5 AVENUE,95117,96,A
205,1005690003,45,5 AVENUE,45248,95,A
206,1005690005,49,5 AVENUE,121128,97,A
207,1005690024,88,UNIVERSITY PLACE,70642,100,A
208,1005700008,6,EAST 13 STREET,49408,88,A
209,1005720026,24,WEST 9 STREET,46137,93,A
210,1005750072,45,WEST 11 STREET,27308,86,A
211,1005750077,55,WEST 11 STREET,63943,100,A
212,1005760056,31,WEST 12 STREET,44586,100,A
213,1005770024,22,WEST 14 STREET,151500,97,A
214,1005770030,18,WEST 14 STREET,100315,85,A
215,1005780047,250,HUDSON STREET,340618,87,A
216,1005780067,119,VARICK STREET,120592,85,A
217,1005800060,183,VARICK STREET,68476,98,A
218,1005800065,171,VARICK STREET,137975,97,A
219,1005807501,330,HUDSON STREET,404273,85,A
220,1005890014,26,CORNELIA STREET,26110,94,A
221,1005900022,12,JONES STREET,48544,98,A
222,1005900079,13,JONES STREET,36760,99,A
223,1005920066,375,AVENUE OF THE AMERICAS,93291,85,A
224,1005920082,129,WEST WASHINGTON PLACE,38214,92,A
225,1005937501,10,CHRISTOPHER STREET,25562,90,A
226,1005947501,479,GREENWICH STREET,79136,100,A
227,1005957501,490,GREENWICH STREET,56614,96,A
228,1005970001,515,GREENWICH STREET,59615,86,A
229,1005990064,375,HUDSON STREET,1076164,88,A
230,1006007501,395,HUDSON STREET,583530,94,A
231,1006030046,636,GREENWICH STREET,90000,85,A
232,1006150086,245,WEST 12 STREET,58565,89,A
233,1006160027,115,GREENWICH AVENUE,25992,85,A
234,1006180024,214,WEST 14 STREET,53906,91,A
235,1006180042,205,WEST 13 STREET,26700,97,A
236,1006180044,209,WEST 13 STREET,27075,100,A
237,1006190033,330,BLEECKER STREET,136785,94,A
238,1006200019,350,BLEECKER STREET,92998,94,A
239,1006220041,268,WEST 11 STREET,29725,95,A
240,1006237501,295,WEST 11 STREET,37638,100,A
241,1006240044,290,WEST 12 STREET,26694,89,A
242,1006260012,631,HUDSON STREET,262297,91,A
243,1006297501,321,WEST 13 STREET,30312,86,A
244,1006320017,726,GREENWICH STREET,141001,87,A
245,1006320039,719,GREENWICH STREET,25746,97,A
246,1006350026,772,GREENWICH STREET,70350,96,A
247,1006360022,650,WASHINGTON STREET,165436,100,A
248,1006370066,702,WASHINGTON STREET,59820,87,A
249,1006370077,161,PERRY STREET,39750,90,A
